T1,T2,Field,NLP PhD 1,Other PhD 1,NLP PhD student 1,NLP PhD student 2,NLP PhD student 3,AI PhD student 1,MS student 1,MS student 2
0,7,Similarity,3,3,3,3,3,3,2,3
0,7,T1 Help Understand T2,3,3,3,3,3,3,3,1
0,7,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,7,T2 Help Understand T1,1,1,2,2,3,2,1,1
0,7,T2 Topic Coherence,3,3,3,3,3,3,3,3
0,19,Similarity,,,,,,,,1
0,19,T1 Topic Coherence,3,2,3,3,3,3,3,3
0,19,T2 Topic Coherence,1,1,1,1,,1,1,2
0,20,Similarity,,1,1,1,2,1,,1
0,20,T1 Help Understand T2,,1,1,1,2,1,,
0,20,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,20,T2 Help Understand T1,,1,1,1,2,1,,
0,20,T2 Topic Coherence,1,2,3,2,2,2,1,2
0,26,Similarity,,,,,2,,1,2
0,26,T1 Help Understand T2,,,,,1,,1,1
0,26,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,26,T2 Help Understand T1,,,,,1,,1,2
0,26,T2 Topic Coherence,,2,,2,2,,2,2
0,33,Similarity,2,2,,1,,,,1
0,33,T1 Help Understand T2,1,1,,1,,,,
0,33,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,33,T2 Help Understand T1,2,2,,1,,,,
0,33,T2 Topic Coherence,2,2,1,2,1,1,1,2
0,34,Similarity,,,,,2,,,
0,34,T1 Help Understand T2,,,,,2,,,
0,34,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,34,T2 Help Understand T1,,,,,2,,,
0,34,T2 Topic Coherence,,,,1,2,,1,1
0,35,Similarity,,,,,,,3,2
0,35,T1 Help Understand T2,,,,,,,2,1
0,35,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,35,T2 Help Understand T1,,,,,,,3,2
0,35,T2 Topic Coherence,1,,1,1,1,1,2,2
0,36,Similarity,,2,,2,,,,
0,36,T1 Help Understand T2,,2,,2,,,,
0,36,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,36,T2 Help Understand T1,,3,,3,,,,
0,36,T2 Topic Coherence,1,3,1,3,,,1,
0,38,Similarity,,,,,,,2,2
0,38,T1 Help Understand T2,,,,,,,1,2
0,38,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,38,T2 Help Understand T1,,,,,,,2,1
0,38,T2 Topic Coherence,1,1,1,,1,1,2,2
0,50,Similarity,,3,,,,,2,2
0,50,T1 Help Understand T2,,3,,,,,2,1
0,50,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,50,T2 Help Understand T1,,2,,,,,3,2
0,50,T2 Topic Coherence,2,3,1,1,1,1,2,2
0,60,Similarity,,,1,2,2,3,,2
0,60,T1 Help Understand T2,,,1,,2,,,2
0,60,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,60,T2 Help Understand T1,,,1,,2,,,1
0,60,T2 Topic Coherence,3,1,2,2,2,2,1,3
0,61,Similarity,,,,2,,,2,1
0,61,T1 Help Understand T2,,,,1,,,2,
0,61,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,61,T2 Help Understand T1,,,,2,,,2,
0,61,T2 Topic Coherence,1,1,1,2,1,1,2,2
0,62,Similarity,,,,,2,,,
0,62,T1 Help Understand T2,,,,,2,,,
0,62,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,62,T2 Help Understand T1,,,,,2,,,
0,62,T2 Topic Coherence,,1,,1,2,,1,1
0,65,Similarity,3,3,3,2,2,3,3,3
0,65,T1 Help Understand T2,1,2,1,1,1,1,3,1
0,65,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,65,T2 Help Understand T1,3,2,3,2,1,3,2,1
0,65,T2 Topic Coherence,3,3,3,3,3,3,3,3
0,73,Similarity,2,2,2,2,2,2,2,
0,73,T1 Help Understand T2,1,1,1,1,1,1,1,
0,73,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,73,T2 Help Understand T1,1,2,2,1,2,1,3,3
0,73,T2 Topic Coherence,3,3,3,2,3,3,2,3
0,78,Similarity,3,3,3,3,,3,3,3
0,78,T1 Help Understand T2,1,2,2,3,,1,3,2
0,78,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,78,T2 Help Understand T1,3,3,3,3,,3,3,3
0,78,T2 Topic Coherence,3,3,3,2,3,3,2,3
0,89,Similarity,,,,2,,,,2
0,89,T1 Help Understand T2,,,,,,,,1
0,89,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,89,T2 Help Understand T1,,,,,,,,2
0,89,T2 Topic Coherence,1,1,1,2,1,1,1,2
0,95,Similarity,1,,,1,,2,2,2
0,95,T1 Help Understand T2,1,,,1,,1,2,1
0,95,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,95,T2 Help Understand T1,1,,,1,,2,2,2
0,95,T2 Topic Coherence,3,1,1,2,,3,2,2
0,96,Similarity,2,,,,,,3,1
0,96,T1 Help Understand T2,1,,,,,,2,
0,96,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,96,T2 Help Understand T1,2,,,,,,3,
0,96,T2 Topic Coherence,2,1,1,1,,1,2,3
0,101,Similarity,2,,,,,,,1
0,101,T1 Help Understand T2,1,,,,,,,
0,101,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,101,T2 Help Understand T1,2,,,,,,,
0,101,T2 Topic Coherence,2,1,1,1,1,1,1,2
0,104,Similarity,1,2,2,2,3,2,2,1
0,104,T1 Help Understand T2,1,1,1,1,2,1,1,
0,104,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,104,T2 Help Understand T1,2,3,2,2,3,2,2,
0,104,T2 Topic Coherence,3,3,3,2,3,3,2,3
0,105,Similarity,2,2,3,2,,2,,2
0,105,T1 Help Understand T2,2,2,3,2,,1,,3
0,105,T1 Topic Coherence,3,3,3,3,3,3,,3
0,105,T2 Help Understand T1,1,1,2,1,,1,,1
0,105,T2 Topic Coherence,2,2,3,2,2,2,,3
0,201,Similarity,3,2,,2,,2,,
0,201,T1 Help Understand T2,3,2,,1,,1,,
0,201,T1 Topic Coherence,3,3,3,2,3,3,3,3
0,201,T2 Help Understand T1,1,2,,2,,1,,
0,201,T2 Topic Coherence,3,2,1,2,1,2,1,1
0,229,Similarity,3,3,3,3,3,3,3,3
0,229,T1 Help Understand T2,2,3,1,3,3,3,3,3
0,229,T1 Topic Coherence,3,3,3,3,3,3,3,3
0,229,T2 Help Understand T1,3,3,3,3,3,2,3,2
0,229,T2 Topic Coherence,3,3,2,3,3,2,2,3
1,2,Similarity,1,3,2,2,3,3,2,2
1,2,T1 Help Understand T2,1,1,2,1,2,2,2,2
1,2,T1 Topic Coherence,3,3,3,3,3,2,3,2
1,2,T2 Help Understand T1,1,2,1,2,3,2,2,1
1,2,T2 Topic Coherence,3,3,3,3,3,3,3,3
1,65,Similarity,3,3,3,3,3,3,2,2
1,65,T1 Help Understand T2,3,3,3,2,2,3,1,2
1,65,T1 Topic Coherence,3,3,3,2,3,2,3,3
1,65,T2 Help Understand T1,1,3,1,3,2,2,2,1
1,65,T2 Topic Coherence,3,3,3,3,3,3,3,2
1,97,Similarity,2,3,2,1,3,3,3,2
1,97,T1 Help Understand T2,1,2,2,1,3,3,3,1
1,97,T1 Topic Coherence,3,3,2,2,3,2,3,3
1,97,T2 Help Understand T1,2,3,1,1,3,3,3,2
1,97,T2 Topic Coherence,2,2,3,2,3,3,3,3
1,201,Similarity,3,,,,,,,2
1,201,T1 Help Understand T2,1,,,,,,,3
1,201,T1 Topic Coherence,3,3,3,2,2,2,2,2
1,201,T2 Help Understand T1,2,,,,,,,1
1,201,T2 Topic Coherence,3,1,1,1,1,2,1,3
2,10,Similarity,3,,3,,2,3,3,2
2,10,T1 Help Understand T2,,,2,,2,2,3,1
2,10,T1 Topic Coherence,3,3,3,3,3,3,3,3
2,10,T2 Help Understand T1,,,3,,2,3,3,2
2,10,T2 Topic Coherence,2,1,2,1,2,3,3,2
2,16,Similarity,2,3,2,1,3,3,3,3
2,16,T1 Help Understand T2,2,3,3,1,3,3,3,3
2,16,T1 Topic Coherence,3,3,3,3,3,3,3,3
2,16,T2 Help Understand T1,1,2,1,1,2,2,2,2
2,16,T2 Topic Coherence,3,3,3,3,3,3,3,3
2,133,Similarity,,,,,,,,2
2,133,T1 Help Understand T2,,,,,,,,2
2,133,T1 Topic Coherence,3,3,3,3,3,3,3,3
2,133,T2 Help Understand T1,,,,,,,,2
2,133,T2 Topic Coherence,1,,1,1,1,,1,2
2,138,Similarity,,3,1,1,1,,1,2
2,138,T1 Help Understand T2,,3,1,1,,,1,1
2,138,T1 Topic Coherence,3,3,3,3,3,3,2,3
2,138,T2 Help Understand T1,,3,1,1,,,1,2
2,138,T2 Topic Coherence,1,3,2,3,2,1,2,2
2,172,Similarity,3,3,3,3,3,3,3,2
2,172,T1 Help Understand T2,3,3,3,3,3,3,3,2
2,172,T1 Topic Coherence,3,3,3,3,3,3,3,3
2,172,T2 Help Understand T1,1,2,1,2,3,2,2,1
2,172,T2 Topic Coherence,3,3,3,3,3,3,3,3
2,174,Similarity,,,,,,,,2
2,174,T1 Help Understand T2,,,,,,,,1
2,174,T1 Topic Coherence,3,3,3,3,3,3,3,3
2,174,T2 Help Understand T1,,,,,,,,2
2,174,T2 Topic Coherence,3,1,,1,,1,1,2
2,227,Similarity,,,,,,,2,
2,227,T1 Help Understand T2,,,,,,,1,
2,227,T1 Topic Coherence,3,3,3,3,3,3,3,3
2,227,T2 Help Understand T1,,,,,,,2,
2,227,T2 Topic Coherence,1,1,1,1,1,1,2,1
3,0,Similarity,1,,,,,,,2
3,0,T1 Help Understand T2,1,,,,,,,2
3,0,T1 Topic Coherence,3,,,1,,1,1,2
3,0,T2 Help Understand T1,1,,,,,,,1
3,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
4,0,Similarity,2,2,2,2,,1,,2
4,0,T1 Help Understand T2,1,2,2,1,,1,,1
4,0,T1 Topic Coherence,3,3,3,2,3,3,1,3
4,0,T2 Help Understand T1,1,2,1,1,,1,,1
4,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
4,229,Similarity,2,1,1,,,3,2,
4,229,T1 Help Understand T2,2,1,1,,,1,2,
4,229,T1 Topic Coherence,3,3,2,1,3,3,2,1
4,229,T2 Help Understand T1,1,1,1,,,1,1,
4,229,T2 Topic Coherence,3,3,2,2,3,3,3,2
6,90,Similarity,,3,3,3,3,3,,2
6,90,T1 Help Understand T2,,2,2,3,3,3,,3
6,90,T1 Topic Coherence,3,3,2,3,3,3,2,2
6,90,T2 Help Understand T1,,3,3,3,3,3,,1
6,90,T2 Topic Coherence,,3,3,2,3,3,1,3
6,110,Similarity,2,2,2,2,1,3,,3
6,110,T1 Help Understand T2,1,,1,1,1,2,,1
6,110,T1 Topic Coherence,2,3,2,3,3,3,2,3
6,110,T2 Help Understand T1,2,,3,1,1,3,,3
6,110,T2 Topic Coherence,3,3,3,3,3,3,2,3
6,168,Similarity,2,,3,2,3,3,3,2
6,168,T1 Help Understand T2,1,1,2,2,3,3,3,
6,168,T1 Topic Coherence,3,3,3,3,3,3,2,2
6,168,T2 Help Understand T1,2,3,3,2,3,2,3,2
6,168,T2 Topic Coherence,3,3,3,3,3,3,3,2
7,293,Similarity,2,2,2,3,2,3,2,2
7,293,T1 Help Understand T2,1,1,1,2,2,2,2,2
7,293,T1 Topic Coherence,3,3,2,3,3,3,3,3
7,293,T2 Help Understand T1,2,2,2,2,2,3,2,1
7,293,T2 Topic Coherence,3,3,3,2,3,3,3,2
10,23,Similarity,2,2,,2,1,,,2
10,23,T1 Help Understand T2,1,1,,2,,,,2
10,23,T1 Topic Coherence,2,2,2,2,3,2,2,3
10,23,T2 Help Understand T1,1,2,,2,,,,1
10,23,T2 Topic Coherence,2,2,1,2,3,1,1,2
10,25,Similarity,3,2,2,,2,2,2,3
10,25,T1 Help Understand T2,1,3,2,,2,2,2,1
10,25,T1 Topic Coherence,2,2,2,1,3,2,3,3
10,25,T2 Help Understand T1,1,2,1,,2,1,1,3
10,25,T2 Topic Coherence,3,2,3,3,3,3,2,3
13,0,Similarity,,,2,,1,,,1
13,0,T1 Help Understand T2,,,2,,,,,
13,0,T1 Topic Coherence,,2,3,,2,,,2
13,0,T2 Help Understand T1,,,1,,,,,
13,0,T2 Topic Coherence,3,3,2,3,3,3,,3
13,158,Similarity,,,,,,,3,1
13,158,T1 Help Understand T2,,,,,,,2,
13,158,T1 Topic Coherence,,2,,,,,2,2
13,158,T2 Help Understand T1,,,,,,,3,
13,158,T2 Topic Coherence,3,3,3,2,3,,3,2
13,266,Similarity,,,,,,,2,3
13,266,T1 Help Understand T2,,,,,,,2,1
13,266,T1 Topic Coherence,,3,2,,,,3,2
13,266,T2 Help Understand T1,,,,,,,2,3
13,266,T2 Topic Coherence,3,3,2,2,3,2,2,2
14,186,Similarity,,,3,2,2,3,1,2
14,186,T1 Help Understand T2,,,3,2,2,3,1,2
14,186,T1 Topic Coherence,2,3,3,2,3,3,2,3
14,186,T2 Help Understand T1,,,1,2,2,2,1,1
14,186,T2 Topic Coherence,3,1,3,2,3,3,2,3
14,195,Similarity,1,,3,2,2,,,2
14,195,T1 Help Understand T2,1,,3,2,2,,,1
14,195,T1 Topic Coherence,3,3,3,2,3,3,2,3
14,195,T2 Help Understand T1,1,,1,2,2,,,3
14,195,T2 Topic Coherence,2,,3,2,2,3,1,3
16,25,Similarity,3,3,2,2,3,,,
16,25,T1 Help Understand T2,1,2,2,2,1,,,1
16,25,T1 Topic Coherence,3,3,3,3,3,3,,3
16,25,T2 Help Understand T1,3,3,2,1,3,,,3
16,25,T2 Topic Coherence,3,3,3,3,3,3,,3
16,172,Similarity,3,2,3,2,3,3,3,3
16,172,T1 Help Understand T2,,2,3,1,2,3,3,1
16,172,T1 Topic Coherence,3,2,3,3,3,3,3,3
16,172,T2 Help Understand T1,,2,2,1,3,3,3,1
16,172,T2 Topic Coherence,3,3,3,3,3,3,2,3
17,0,Similarity,3,2,3,,,,1,2
17,0,T1 Help Understand T2,1,2,2,,,,1,2
17,0,T1 Topic Coherence,2,2,2,1,,1,2,2
17,0,T2 Help Understand T1,3,3,3,,,,1,1
17,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
18,0,Similarity,2,2,1,2,3,,2,2
18,0,T1 Help Understand T2,2,2,2,2,3,,3,2
18,0,T1 Topic Coherence,3,3,3,2,3,,3,3
18,0,T2 Help Understand T1,1,1,1,2,2,,2,2
18,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
18,169,Similarity,1,2,2,1,3,,1,2
18,169,T1 Help Understand T2,1,2,2,1,3,,1,2
18,169,T1 Topic Coherence,3,3,3,2,3,3,3,3
18,169,T2 Help Understand T1,1,2,1,1,2,,1,1
18,169,T2 Topic Coherence,3,3,3,2,2,2,3,2
21,148,Similarity,,,,,,,2,2
21,148,T1 Help Understand T2,,,,,,,2,1
21,148,T1 Topic Coherence,1,1,,1,1,1,2,2
21,148,T2 Help Understand T1,,,,,,,2,2
21,148,T2 Topic Coherence,2,1,2,,,1,2,2
22,117,Similarity,,,3,3,3,,,3
22,117,T1 Help Understand T2,,,3,3,3,,,3
22,117,T1 Topic Coherence,3,3,3,3,3,3,2,2
22,117,T2 Help Understand T1,,,1,3,3,,,1
22,117,T2 Topic Coherence,,,3,3,3,,1,2
22,237,Similarity,,,1,2,,2,2,1
22,237,T1 Help Understand T2,1,,1,2,,3,2,
22,237,T1 Topic Coherence,3,2,3,2,3,3,2,2
22,237,T2 Help Understand T1,1,,1,2,,1,2,
22,237,T2 Topic Coherence,3,2,3,2,1,2,2,3
22,281,Similarity,,2,3,2,3,3,,1
22,281,T1 Help Understand T2,,2,3,2,3,3,,
22,281,T1 Topic Coherence,3,3,3,3,3,3,2,3
22,281,T2 Help Understand T1,,1,1,1,3,1,,
22,281,T2 Topic Coherence,3,3,3,2,2,3,2,2
23,204,Similarity,,,,,2,,,2
23,204,T1 Help Understand T2,,,,,2,,,2
23,204,T1 Topic Coherence,2,2,1,3,3,,2,2
23,204,T2 Help Understand T1,,,,,2,,,1
23,204,T2 Topic Coherence,1,2,1,,3,1,1,3
25,82,Similarity,3,3,3,3,3,3,3,3
25,82,T1 Help Understand T2,3,3,3,1,3,3,3,3
25,82,T1 Topic Coherence,3,3,3,3,3,3,3,2
25,82,T2 Help Understand T1,1,2,2,3,2,1,3,2
25,82,T2 Topic Coherence,3,3,3,3,3,3,3,3
28,0,Similarity,,,,,,,2,
28,0,T1 Help Understand T2,,,,,,,2,
28,0,T1 Topic Coherence,,,1,1,,1,2,1
28,0,T2 Help Understand T1,,,,,,,1,
28,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
29,0,Similarity,2,,,,,2,3,
29,0,T1 Help Understand T2,1,,,,,2,3,
29,0,T1 Topic Coherence,2,1,1,1,1,2,2,1
29,0,T2 Help Understand T1,1,,,,,2,3,
29,0,T2 Topic Coherence,3,2,3,3,3,3,3,3
30,0,Similarity,1,,1,1,2,3,3,2
30,0,T1 Help Understand T2,1,,1,1,2,3,3,3
30,0,T1 Topic Coherence,2,2,3,2,3,2,2,2
30,0,T2 Help Understand T1,1,,1,1,1,1,3,2
30,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
31,63,Similarity,,2,3,2,3,,3,2
31,63,T1 Help Understand T2,,1,3,2,2,,3,1
31,63,T1 Topic Coherence,3,2,3,3,3,3,3,2
31,63,T2 Help Understand T1,,2,3,2,2,,3,2
31,63,T2 Topic Coherence,3,3,3,2,3,2,3,2
32,186,Similarity,,2,,,,,,2
32,186,T1 Help Understand T2,,,,,,,,3
32,186,T1 Topic Coherence,,2,,,,,1,2
32,186,T2 Help Understand T1,,2,,,,,,2
32,186,T2 Topic Coherence,3,2,3,2,3,,3,3
36,271,Similarity,,,,,,,,1
36,271,T1 Help Understand T2,,,,,,,,
36,271,T1 Topic Coherence,1,,1,,,1,1,2
36,271,T2 Help Understand T1,,,,,,,,
36,271,T2 Topic Coherence,3,3,3,3,3,3,2,2
37,273,Similarity,3,3,3,3,3,3,,3
37,273,T1 Help Understand T2,3,3,3,3,3,3,,2
37,273,T1 Topic Coherence,3,3,3,3,3,3,1,3
37,273,T2 Help Understand T1,3,3,1,3,3,3,,3
37,273,T2 Topic Coherence,3,3,3,3,3,3,3,3
39,0,Similarity,1,1,,,,1,,2
39,0,T1 Help Understand T2,1,1,,,,1,,2
39,0,T1 Topic Coherence,3,2,1,,3,2,1,2
39,0,T2 Help Understand T1,1,1,,,,1,,1
39,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
40,4,Similarity,3,,,,,,2,
40,4,T1 Help Understand T2,2,,,,,,2,
40,4,T1 Topic Coherence,3,3,2,1,3,,3,2
40,4,T2 Help Understand T1,2,,,,,,2,
40,4,T2 Topic Coherence,3,3,2,,3,2,2,
41,0,Similarity,3,2,1,2,2,3,3,2
41,0,T1 Help Understand T2,3,2,1,2,2,3,2,2
41,0,T1 Topic Coherence,3,3,3,3,2,3,3,2
41,0,T2 Help Understand T1,1,1,1,1,2,2,3,1
41,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
41,158,Similarity,3,3,3,3,3,3,2,2
41,158,T1 Help Understand T2,1,3,1,2,3,3,1,1
41,158,T1 Topic Coherence,3,3,3,3,3,3,3,2
41,158,T2 Help Understand T1,3,3,3,3,3,3,3,2
41,158,T2 Topic Coherence,3,3,3,2,3,3,3,3
42,0,Similarity,3,2,3,,2,,,2
42,0,T1 Help Understand T2,3,2,3,,2,,,2
42,0,T1 Topic Coherence,2,2,2,,2,1,1,2
42,0,T2 Help Understand T1,3,2,2,,2,,,1
42,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
43,222,Similarity,3,3,3,2,3,3,3,2
43,222,T1 Help Understand T2,2,3,3,2,2,3,3,2
43,222,T1 Topic Coherence,3,3,3,2,3,2,2,2
43,222,T2 Help Understand T1,1,2,2,3,2,2,3,
43,222,T2 Topic Coherence,3,3,3,3,3,3,3,3
43,287,Similarity,3,3,3,3,3,3,,2
43,287,T1 Help Understand T2,3,1,3,3,3,2,,1
43,287,T1 Topic Coherence,3,3,3,3,3,3,1,3
43,287,T2 Help Understand T1,1,3,1,3,3,3,,1
43,287,T2 Topic Coherence,3,3,3,3,3,3,2,3
44,168,Similarity,,,2,2,,2,3,
44,168,T1 Help Understand T2,,,2,2,,1,3,
44,168,T1 Topic Coherence,,1,2,2,1,2,3,2
44,168,T2 Help Understand T1,,,3,2,,1,3,
44,168,T2 Topic Coherence,3,,3,2,2,3,3,2
46,0,Similarity,,1,,1,1,1,,3
46,0,T1 Help Understand T2,,1,,1,1,1,,1
46,0,T1 Topic Coherence,1,3,1,2,2,2,1,3
46,0,T2 Help Understand T1,,1,,1,1,1,,3
46,0,T2 Topic Coherence,3,3,3,2,3,3,3,3
46,7,Similarity,,1,,2,1,2,,3
46,7,T1 Help Understand T2,,1,,2,1,1,,2
46,7,T1 Topic Coherence,1,3,1,2,2,2,1,2
46,7,T2 Help Understand T1,,1,,2,1,1,,2
46,7,T2 Topic Coherence,3,3,3,2,3,3,2,3
48,0,Similarity,1,2,2,2,2,2,,2
48,0,T1 Help Understand T2,1,2,2,2,2,3,,2
48,0,T1 Topic Coherence,3,3,2,2,2,2,1,2
48,0,T2 Help Understand T1,1,1,1,2,2,1,,1
48,0,T2 Topic Coherence,3,3,2,2,3,3,3,3
49,0,T1 Topic Coherence,1,1,1,,1,1,1,1
49,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
51,0,Similarity,,2,1,2,1,,2,
51,0,T1 Help Understand T2,,2,1,2,,,2,
51,0,T1 Topic Coherence,1,3,2,2,2,1,2,1
51,0,T2 Help Understand T1,,1,1,1,,,1,
51,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
53,2,Similarity,1,,1,,1,,,2
53,2,T1 Help Understand T2,1,,1,,,,,2
53,2,T1 Topic Coherence,3,3,3,,3,,1,2
53,2,T2 Help Understand T1,1,,1,,,,,1
53,2,T2 Topic Coherence,3,3,3,3,3,3,3,3
55,59,Similarity,3,3,3,3,3,3,3,3
55,59,T1 Help Understand T2,2,3,2,3,3,3,3,1
55,59,T1 Topic Coherence,3,3,3,3,3,3,3,3
55,59,T2 Help Understand T1,3,2,3,3,3,3,3,3
55,59,T2 Topic Coherence,3,3,3,3,2,3,3,2
56,243,Similarity,,3,2,1,,,1,2
56,243,T1 Help Understand T2,,,2,1,,,1,2
56,243,T1 Topic Coherence,3,3,3,3,3,3,3,3
56,243,T2 Help Understand T1,,,1,1,,,1,1
56,243,T2 Topic Coherence,,3,3,2,3,,3,2
57,0,Similarity,,2,,,,,,3
57,0,T1 Help Understand T2,,1,,,,,,3
57,0,T1 Topic Coherence,3,2,1,1,1,1,1,2
57,0,T2 Help Understand T1,,2,,,,,,2
57,0,T2 Topic Coherence,3,3,3,2,3,3,3,3
59,82,Similarity,3,3,3,3,3,3,3,3
59,82,T1 Help Understand T2,3,3,1,3,3,3,3,3
59,82,T1 Topic Coherence,3,3,3,3,3,3,3,3
59,82,T2 Help Understand T1,2,2,3,3,3,3,3,1
59,82,T2 Topic Coherence,3,3,3,2,3,3,3,3
59,260,Similarity,,,,,3,,2,2
59,260,T1 Help Understand T2,,,,,3,,1,1
59,260,T1 Topic Coherence,3,3,3,3,3,3,3,3
59,260,T2 Help Understand T1,,,,,2,,2,2
59,260,T2 Topic Coherence,1,1,1,1,2,1,2,3
60,46,Similarity,2,2,,2,,,,2
60,46,T1 Help Understand T2,1,1,,,,,,1
60,46,T1 Topic Coherence,2,2,2,2,2,1,1,2
60,46,T2 Help Understand T1,1,3,,,,,,2
60,46,T2 Topic Coherence,2,3,1,2,,1,1,
60,73,Similarity,1,2,1,,3,,,3
60,73,T1 Help Understand T2,1,1,1,,1,,,1
60,73,T1 Topic Coherence,2,2,2,1,3,1,1,3
60,73,T2 Help Understand T1,1,2,1,,2,,,3
60,73,T2 Topic Coherence,3,2,3,2,3,3,2,3
62,131,Similarity,,,,,,,,2
62,131,T1 Help Understand T2,,,,,,,,2
62,131,T1 Topic Coherence,,,,1,,,1,2
62,131,T2 Help Understand T1,,,,,,,,1
62,131,T2 Topic Coherence,,2,1,1,2,1,1,3
62,249,T1 Topic Coherence,,1,,,2,1,1,2
62,249,T2 Topic Coherence,,1,1,,1,1,1,1
63,2,Similarity,3,2,1,1,1,,2,2
63,2,T1 Help Understand T2,1,2,1,1,,,2,2
63,2,T1 Topic Coherence,3,2,2,2,2,1,3,2
63,2,T2 Help Understand T1,3,2,1,1,,,2,1
63,2,T2 Topic Coherence,3,3,3,3,3,3,3,3
65,2,Similarity,3,3,3,3,3,3,3,2
65,2,T1 Help Understand T2,1,2,1,1,3,2,2,1
65,2,T1 Topic Coherence,3,3,3,3,3,3,3,3
65,2,T2 Help Understand T1,3,3,3,3,3,3,3,2
65,2,T2 Topic Coherence,3,3,3,3,3,3,3,3
65,237,Similarity,3,3,,,,3,,2
65,237,T1 Help Understand T2,2,2,,,,2,,2
65,237,T1 Topic Coherence,3,,3,3,3,3,3,3
65,237,T2 Help Understand T1,3,3,,,,2,,1
65,237,T2 Topic Coherence,3,3,1,1,,2,1,3
66,0,Similarity,1,2,,1,1,3,1,1
66,0,T1 Help Understand T2,1,2,,1,,1,1,
66,0,T1 Topic Coherence,3,3,2,3,3,2,3,2
66,0,T2 Help Understand T1,1,1,,1,,1,1,
66,0,T2 Topic Coherence,3,3,3,3,3,3,3,3
66,73,Similarity,3,2,,2,,3,1,
66,73,T1 Help Understand T2,3,2,,2,,2,1,
66,73,T1 Topic Coherence,3,3,1,2,3,2,2,1
66,73,T2 Help Understand T1,3,2,,2,,2,1,
66,73,T2 Topic Coherence,3,3,3,3,2,3,3,3
66,247,Similarity,3,3,3,3,,3,1,2
66,247,T1 Help Understand T2,3,3,2,3,,3,1,1
66,247,T1 Topic Coherence,3,3,3,3,3,3,3,2
66,247,T2 Help Understand T1,3,3,3,3,,3,1,1
66,247,T2 Topic Coherence,3,3,3,3,3,3,3,3
69,0,Similarity,2,3,2,,3,3,,2
69,0,T1 Help Understand T2,2,3,2,,3,3,,2
69,0,T1 Topic Coherence,3,2,3,,3,3,,2
69,0,T2 Help Understand T1,1,3,1,,2,1,,1
69,0,T2 Topic Coherence,3,3,3,2,3,3,,3
69,74,Similarity,2,2,2,2,3,2,3,3
69,74,T1 Help Understand T2,1,2,2,2,3,2,3,3
